名称,总价（万）,均价,成交日期,位置
春天花园 7室3厅 324.81平米,790,24322元,2015-12-31,青羊
华侨城东岸 5室2厅 399.8平米,790,19760元,2017-10-11,金牛
水映长岛 4室2厅 375平米,790,21067元,2015-10-10,青羊
优品道四期 5室2厅 408.96平米,789,19293元,2017-02-16,青羊
朗基望今缘 4室2厅 289平米,760,26298元,2017-09-19,锦江
麓山国际圣安德鲁 5室3厅 331.79平米,755,22756元,2017-08-02,天府新区
万科五龙山九墅 4室2厅 275.24平米,755,27445元,2017-12-22,新都
凯德风尚别墅 6室3厅 570.95平米,750,13136元,2016-06-07,青羊
翡翠城五期 5室3厅 246.98平米,740,29962元,2016-12-29,锦江
绿地锦天府 3室2厅 345平米,735,21305元,2017-09-26,锦江
春江阁 5室3厅 239平米,735,30754元,2017-07-16,青羊
绿地锦天府 6室2厅 320.58平米,730,22772元,2017-08-21,锦江
仁恒滨河湾 4室2厅 224.71平米,728,32398元,2018-02-02,锦江
仁恒滨河湾 4室2厅 224平米,723,32277元,2017-12-21,锦江
中海金沙府 5室2厅 314平米,720,22929元,2016-03-01,青羊
西派国际 4室1厅 193.17平米,720,37273元,2018-02-01,高新区
南苑小区 4室2厅 203.01平米,720,35466元,2016-10-24,高新区
南苑小区 4室1厅 203.01平米,717,35319元,2017-09-22,高新区
绿地锦天府 5室2厅 346.69平米,713,20561元,2017-09-25,锦江
绿地锦天府 3室2厅 345.58平米,713,20632元,2018-01-10,锦江
南苑小区 4室2厅 203平米,712,35074元,2017-12-11,高新区
南苑小区 4室2厅 202.29平米,708,35000元,2017-12-22,高新区
中海国际社区央墅 6室3厅 416平米,699,16803元,2015-10-31,高新西区
仁恒滨河湾 4室2厅 258平米,696,26977元,2017-09-19,锦江
融创长滩壹号 4室3厅 398.9平米,690,17298元,2018-01-09,双流
中海城南华府 5室2厅 253.56平米,690,27213元,2017-09-08,高新区
紫檀 3室1厅 280.67平米,690,24585元,2018-01-18,武侯
南苑小区 4室2厅 203.01平米,680,33496元,2017-05-28,高新区
中海九号公馆 4室1厅 189.68平米,680,35850元,2017-11-01,高新区
春江阁 4室2厅 239.38平米,666,27822元,2017-02-10,青羊
天合凯旋南城 5室2厅 375平米,666,17760元,2016-12-30,高新区
